,date_cd,dong,temp,hum,redust,pm10,pm25,o3,no2,co,so2,buspop,stops,consts
125,20221205,삼전동,2.0,27.0,38.0,22,10,0.017,0.024,0.4,0.003,7810,5,49
126,20221205,오금동,1.0,28.0,51.0,22,10,0.017,0.024,0.4,0.003,11253,24,49
127,20221205,잠실동,2.0,28.0,40.0,22,10,0.017,0.024,0.4,0.003,45752,57,49
128,20221214,자양동,-4.0,40.0,164.0,44,10,0.023,0.008,0.3,0.002,27450,61,35
129,20221214,광장동,-4.0,40.0,119.0,44,10,0.023,0.008,0.3,0.002,5612,36,35
130,20230130,자양동,1.0,45.0,76.0,41,16,0.021,0.021,0.4,0.003,26158,61,43
131,20230130,광장동,2.0,43.0,274.0,41,16,0.021,0.021,0.4,0.003,5262,36,43
132,20230131,자양동,5.0,53.0,111.0,36,16,0.017,0.035,0.5,0.003,26548,61,77
133,20230131,논현동,4.0,54.0,5.0,36,16,0.017,0.035,0.5,0.003,35881,19,77
134,20230131,삼성동,4.0,53.0,7.0,36,16,0.017,0.035,0.5,0.003,47516,95,77
135,20230227,자양동,10.0,39.0,63.0,48,29,0.017,0.046,0.6,0.004,25948,61,103
136,20230227,논현동,8.0,44.0,36.0,48,29,0.017,0.046,0.6,0.004,34638,19,103
137,20230227,삼성동,8.0,44.0,21.0,48,29,0.017,0.046,0.6,0.004,46461,95,103
138,20230228,자양동,7.0,62.0,4.0,36,24,0.019,0.032,0.6,0.003,26579,61,52
139,20230228,광장동,7.0,62.0,19.0,36,24,0.019,0.032,0.6,0.003,5563,36,52
140,20220209,연남동,5.0,38.0,213.0,31,22,0.011,0.053,0.7,0.003,6089,14,14
141,20220311,연남동,16.0,68.0,161.0,66,36,0.024,0.054,0.6,0.004,6037,14,14
142,20220318,연남동,11.0,61.0,211.0,7,2,0.036,0.013,0.3,0.002,6306,14,14
143,20220523,연남동,29.0,47.0,16.0,63,37,0.075,0.017,0.4,0.003,6587,14,15
144,20220523,신정동,27.0,51.0,19.0,63,37,0.075,0.017,0.4,0.003,56287,190,15
145,20220523,상암동,30.0,42.0,7.0,63,37,0.075,0.017,0.4,0.003,31893,94,15
146,20220523,공덕동,27.0,53.0,14.0,63,37,0.075,0.017,0.4,0.003,14968,42,15
147,20220523,대흥동,27.0,51.0,17.0,63,37,0.075,0.017,0.4,0.003,16917,41,15
148,20220523,망원동,28.0,48.0,12.0,63,37,0.075,0.017,0.4,0.003,10764,62,15
149,20220523,서교동,28.0,48.0,15.0,63,37,0.075,0.017,0.4,0.003,51816,94,15
150,20220523,아현동,27.0,52.0,23.0,63,37,0.075,0.017,0.4,0.003,12754,29,15
151,20220523,합정동,26.0,58.0,23.0,63,37,0.075,0.017,0.4,0.003,6425,22,15
152,20220617,연남동,29.0,74.0,14.0,31,18,0.036,0.025,0.4,0.003,7388,14,21
153,20220617,신정동,28.0,75.0,18.0,31,18,0.036,0.025,0.4,0.003,59866,190,21
154,20220617,상암동,29.0,74.0,11.0,31,18,0.036,0.025,0.4,0.003,32311,94,21
155,20220617,공덕동,27.0,77.0,7.0,31,18,0.036,0.025,0.4,0.003,15401,42,21
156,20220617,대흥동,26.0,85.0,13.0,31,18,0.036,0.025,0.4,0.003,17896,41,21
157,20220617,망원동,28.0,73.0,7.0,31,18,0.036,0.025,0.4,0.003,11928,62,21
158,20220617,서교동,28.0,73.0,8.0,31,18,0.036,0.025,0.4,0.003,56854,94,21
159,20220617,아현동,25.0,87.0,86.0,31,18,0.036,0.025,0.4,0.003,13331,29,21
160,20220617,합정동,26.0,94.0,25.0,31,18,0.036,0.025,0.4,0.003,7420,22,21
161,20220708,연남동,29.0,78.0,37.0,23,14,0.046,0.014,0.3,0.002,7689,14,28
162,20220708,신정동,27.0,78.0,40.0,23,14,0.046,0.014,0.3,0.002,62039,190,28
163,20220708,상암동,29.0,77.0,46.0,23,14,0.046,0.014,0.3,0.002,33969,94,28
164,20220708,공덕동,27.0,79.0,25.0,23,14,0.046,0.014,0.3,0.002,16026,42,28
165,20220708,대흥동,27.0,78.0,33.0,23,14,0.046,0.014,0.3,0.002,19322,41,28
166,20220708,망원동,29.0,74.0,24.0,23,14,0.046,0.014,0.3,0.002,12388,62,28
167,20220708,서교동,28.0,74.0,16.0,23,14,0.046,0.014,0.3,0.002,58726,94,28
168,20220708,아현동,28.0,76.0,35.0,23,14,0.046,0.014,0.3,0.002,13547,29,28
169,20220708,합정동,28.0,78.0,34.0,23,14,0.046,0.014,0.3,0.002,7718,22,28
170,20220907,연남동,29.0,44.0,22.0,27,14,0.039,0.024,0.4,0.003,7759,14,29
171,20220907,신정동,29.0,40.0,25.0,27,14,0.039,0.024,0.4,0.003,61454,190,29
172,20220907,상암동,30.0,44.0,16.0,27,14,0.039,0.024,0.4,0.003,35297,94,29
173,20220907,공덕동,29.0,37.0,27.0,27,14,0.039,0.024,0.4,0.003,16840,42,29
174,20220907,대흥동,29.0,36.0,18.0,27,14,0.039,0.024,0.4,0.003,20686,41,29
175,20220907,망원동,29.0,42.0,26.0,27,14,0.039,0.024,0.4,0.003,12461,62,29
176,20220907,서교동,29.0,41.0,21.0,27,14,0.039,0.024,0.4,0.003,59146,94,29
177,20220907,아현동,29.0,43.0,12.0,27,14,0.039,0.024,0.4,0.003,14151,29,29
178,20220907,합정동,28.0,51.0,20.0,27,14,0.039,0.024,0.4,0.003,7411,22,29
179,20221007,연남동,18.0,82.0,13.0,11,5,0.021,0.013,0.3,0.003,7520,14,30
180,20221007,신정동,18.0,83.0,7.0,11,5,0.021,0.013,0.3,0.003,60021,190,30
181,20221007,상암동,20.0,73.0,6.0,11,5,0.021,0.013,0.3,0.003,33496,94,30
182,20221007,공덕동,18.0,84.0,10.0,11,5,0.021,0.013,0.3,0.003,15758,42,30
183,20221007,대흥동,18.0,83.0,7.0,11,5,0.021,0.013,0.3,0.003,19665,41,30
184,20221007,망원동,18.0,81.0,7.0,11,5,0.021,0.013,0.3,0.003,12123,62,30
185,20221007,서교동,18.0,81.0,7.0,11,5,0.021,0.013,0.3,0.003,59369,94,30
186,20221007,아현동,17.0,84.0,11.0,11,5,0.021,0.013,0.3,0.003,13760,29,30
187,20221007,합정동,17.0,87.0,13.0,11,5,0.021,0.013,0.3,0.003,7207,22,30
188,20221024,연남동,15.0,39.0,14.0,25,12,0.024,0.017,0.4,0.003,6630,14,30
189,20221024,신정동,15.0,40.0,8.0,25,12,0.024,0.017,0.4,0.003,56777,190,30
190,20221024,상암동,16.0,38.0,8.0,25,12,0.024,0.017,0.4,0.003,33134,94,30
191,20221024,공덕동,14.0,46.0,9.0,25,12,0.024,0.017,0.4,0.003,14902,42,30
192,20221024,대흥동,14.0,55.0,5.0,25,12,0.024,0.017,0.4,0.003,17641,41,30
193,20221024,망원동,15.0,39.0,7.0,25,12,0.024,0.017,0.4,0.003,10494,62,30
